DatasetID,PublisherName
1,"Export Import Bank – Office of Chief Financial Officer  202-565-3946"
2,"Department of Licensing"
3,"Wesley Ingwersen"
4,"NYC OpenData"
5,"CRDC Team"
6,"NPS IRMA Help"
7,"LAPD OpenData"
8,"CRDC Team"
9,"CDC Info"
10,"CRDC Team"
11,TempeData
12,"NYC OpenData"
13,ocr@ed.gov
14,"svc dmesb"
15,"Terrance N. Lewis"
16,"SEPTA Planning Division"
17,"NYC OpenData"
18,CDelgadoReyes
19,"NY Open Data"
20,"CRDC Team"
21,"Open Data"
22,"Open Data"
23,RESP-NET
24,"Hayden Stewart"
25,"CRDC Team"
26,unknown@data.gov
27,"NY Open Data"
28,"Sean Jahanmir"
29,"Janis Brown"
30,"United States Department of Agriculture"
31,"OSPI Report Card Student Information"
32,"DNPAO Public Inquiries"
33,"Bureau of Transportation Statistics"
34,NHTSA-Datahub
35,"Criminal Justice Information Services Division Federal Bureau of Investigation (USDOJ)"
36,"Jennifer Rohrbach"
37,"National Library of Medicine"
38,"Open Data"
39,"Open Data (MGMT)"
40,"Valerie R Butler"
41,"Open Data (MGMT)"
42,unknown@data.gov
43,"Wesley Ingwersen"
44,"ASB Secretary"
45,"Katherine Tom"
46,"NYC OpenData"
47,"Open Source"
48,"Jacob Shepard"
49,NHTSA-Datahub
50,unknown@data.gov
51,Unknown
52,CTA
53,cocadmin
54,Unknown
55,"Marisa Pelzcar"
56,"ASB Secretary"
57,"Frank Fornaris"
58,"Quality Management"
59,unknown@data.gov
60,"Victor Yu"
61,"Jonathan Levy"
62,"National Center for Health Statistics"
63,"National Center for Health Statistics"
64,undefined
65,"PLACES Public Inquiries"
66,"Joel Zhou"
67,"Justin Gorham"
68,"Steve Rietzke"
69,Unknown
70,"Carolyn Chelius"
71,"Janis Brown"
72,"Western Pennsylvania Regional Data Center"
73,unknown@data.gov
74,"OCIO-Will Saunders"
75,"NY Open Data"
76,"Abhilash Vijayan"
77,"Jennifer K. Bond"
78,"David Lean"
79,"Intergovernmental Policy and Planning Division"
80,Unknown
81,"Pamela Wright"
82,Unknown
83,devops@cfpb.gov
84,"CRDC Team"
85,"Marisa Pelzcar"
86,unknown@data.gov
87,"Civil Rights Data Collection Team"
88,"Open Data (MGMT)"
89,CTA
90,"National Center for Health Statistics"
91,"QIESData - CCSQ"
92,"FDA Enterprise Data Inventory"
93,"FDA Enterprise Data Inventory"
94,"Open Data (MGMT)"
95,"Bryan Bauer"
96,DCGISgroup
97,"Ask BJS Bureau of Justice Statistics (USDOJ)"
98,unknown@data.gov
99,"HUD eGIS Help Desk"
100,"Department of Licensing"
101,"Randall Keizer"
102,"TRI Help"
103,"Amrit Kohli"
104,nces
105,unknown@data.gov
106,Unknown
107,"Earthdata Forum"
108,"Criminal Justice Information Services Division Federal Bureau of Investigation (USDOJ)"
109,"Office of Highway Policy Information"
110,"Open Data NY"
111,FSISDataDriven
112,"Soils Hotline"
113,"Rob Jordan"
114,"Linda Kantor"
115,"EDD-LMID Administrator"
116,unknown@data.gov
117,"NY Open Data"
118,unknown@data.gov
119,LakeCounty_Illinois
120,"NYC OpenData"
121,"Office of Debt Management"
122,"FMCSA CDO"
123,"Open Data"
124,"Wesley Ingwersen"
125,"NYC OpenData"
126,"DHDSP Requests"
127,"NYC OpenData"
128,"Megan Day"
129,unknown@data.gov
130,"Wesley Ingwersen"
131,"Lilian Ingster"
