name,url,organization,formats,access_level,license,maintainer
Authorizations From 10/01/2006 Thru 09/30/2025,https://catalog.data.gov/dataset/authorizations-from-10-01-2006-thru-12-31-2022,Organizations,"CSV, PDF, Data.json",public,N/A,"Export Import Bank – Office of Chief Financial Officer 202-565-3946, Option 0"
Electric Vehicle Population Data,https://catalog.data.gov/dataset/electric-vehicle-population-data,Organizations,"CSV, RDF, JSON, XML, Landing Page, Data.json",public,http://opendatacommons.org/licenses/odbl/1.0/,Department of Licensing
Collection Civil Rights Data Collection (CRDC) for the 2017-18 school year,https://catalog.data.gov/dataset/civil-rights-data-collection-crdc-for-the-2017-18-school-year,Organizations,"ZIP, Landing Page, Data.json",public,http://www.opendefinition.org/licenses/cc-by,CRDC Team
Supply Chain Greenhouse Gas Emission Factors v1.3 by NAICS-6,https://catalog.data.gov/dataset/supply-chain-greenhouse-gas-emission-factors-v1-3-by-naics-6,Organizations,"CSV, CSV, Data.json",public,https://pasteur.epa.gov/license/sciencehub-license.html,Wesley Ingwersen
"NPS Visitor Use Statistics Data Package, 2024",https://catalog.data.gov/dataset/nps-visitor-use-statistics-data-package-2024,Organizations,"CSV, CSV, XML, Landing Page, Data.json",public,https://creativecommons.org/publicdomain/zero/1.0/deed.en,NPS IRMA Help
Collection Civil Rights Data Collection (CRDC) for the 2015-16 school year,https://catalog.data.gov/dataset/civil-rights-data-collection-crdc-for-the-2015-16-school-year,Organizations,"ZIP, Landing Page, Data.json",public,http://www.opendefinition.org/licenses/cc-by,CRDC Team
Crime Data from 2020 to 2024,https://catalog.data.gov/dataset/crime-data-from-2020-to-present,Organizations,"CSV, RDF, JSON, XML, Landing Page, Data.json",public,http://creativecommons.org/publicdomain/zero/1.0/legalcode,LAPD OpenData
Hazard Mitigation Assistance Projects,https://catalog.data.gov/dataset/hazard-mitigation-assistance-projects,Organizations,Data.json,public,https://www.usa.gov/government-works,Open Data (MGMT)
Motor Vehicle Collisions - Crashes,https://catalog.data.gov/dataset/motor-vehicle-collisions-crashes,Organizations,"CSV, RDF, JSON, XML, Landing Page, Data.json",public,N/A,NYC OpenData
U.S. Chronic Disease Indicators,https://catalog.data.gov/dataset/u-s-chronic-disease-indicators,Organizations,"CSV, RDF, JSON, XML, Landing Page, Data.json",public,http://opendatacommons.org/licenses/odbl/1.0/,CDC Info
Collection Civil Rights Data Collection (CRDC),https://catalog.data.gov/dataset/civil-rights-data-collection-crdc,Organizations,"Landing Page, Data.json",public,http://www.opendefinition.org/licenses/cc-by,CRDC Team
