dataset_id,tag_name
1,csv
1,pdf
1,data.json
2,csv
2,rdf
2,json
2,xml
2,landing page
2,data.json
3,zip
3,landing page
3,data.json
4,csv
4,data.json
5,csv
5,xml
5,landing page
5,data.json
6,zip
6,landing page
6,data.json
7,csv
7,rdf
7,json
7,xml
7,landing page
7,data.json
8,data.json
9,csv
9,rdf
9,json
9,xml
9,landing page
9,data.json
10,csv
10,rdf
10,json
10,xml
10,landing page
10,data.json
11,landing page
11,data.json
12,excel
12,text
12,csv
12,landing page
12,data.json
13,html
13,arcgis geoservices rest api
13,csv
13,zip
13,geojson
13,kml
13,landing page
13,data.json
14,html
14,zip
14,landing page
14,data.json
15,csv
15,rdf
15,json
15,xml
15,landing page
15,data.json
16,excel
16,data.json
17,data.json
18,html
18,zip
18,landing page
18,data.json
19,csv
19,rdf
19,json
19,xml
19,landing page
19,data.json
20,csv
20,rdf
20,json
20,xml
20,landing page
20,data.json
21,data.json
22,csv
22,rdf
22,json
22,xml
22,landing page
22,data.json
23,excel
23,data.json
24,text
24,data.json
25,excel
25,data.json
26,zip
26,csv
26,esri rest
26,iso-19139
27,landing page
27,data.json
28,csv
28,rdf
28,json
28,xml
28,landing page
28,data.json
29,csv
29,rdf
29,json
29,xml
29,landing page
29,data.json
30,csv
30,rdf
30,json
30,xml
30,landing page
30,data.json
31,csv
31,rdf
31,json
31,xml
31,landing page
31,data.json
32,html
32,landing page
32,data.json
33,xml
33,landing page
33,data.json
34,excel
34,landing page
34,data.json
35,excel
35,landing page
35,data.json
36,csv
36,rdf
36,json
36,xml
36,landing page
36,data.json
37,text
37,zipped csv
37,data.json
38,html
38,zip
38,landing page
38,data.json
39,csv
39,excel
39,json
39,landing page
39,data.json
40,csv
40,shp
40,geojson
40,data.json
41,pdf
41,iso-19139
42,csv
42,data.json
43,text
43,excel
43,data.json
44,csv
44,rdf
44,json
44,xml
44,landing page
44,data.json
45,html
45,landing page
45,data.json
46,csv
46,rdf
46,json
46,xml
46,landing page
46,data.json
47,csv
47,rdf
47,json
47,xml
47,landing page
47,data.json
48,excel
48,landing page
48,data.json
49,landing page
49,data.json
50,landing page
50,data.json
51,csv
51,rdf
51,json
51,xml
51,landing page
51,data.json
52,zip
52,landing page
52,data.json
53,excel
53,landing page
53,data.json
54,csv
54,rdf
54,json
54,xml
54,landing page
54,data.json
55,html
55,api
55,landing page
55,data.json
56,esri rest
56,iso-19139
57,zip
57,landing page
57,data.json
58,csv
58,rdf
58,json
58,xml
58,landing page
58,data.json
59,csv
59,rdf
59,json
59,xml
59,landing page
59,data.json
60,zip
60,landing page
60,data.json
61,csv
61,sas
61,spss
61,pdf
61,html
61,data.json
62,excel
62,landing page
62,data.json
63,excel
63,data.json
64,csv
64,data.json
65,html
65,landing page
65,data.json
66,html
66,landing page
66,data.json
67,html
67,landing page
67,data.json
68,zip
68,xml
68,esri rest
68,iso-19139
69,html
69,landing page
69,data.json
70,csv
70,rdf
70,json
70,xml
70,landing page
70,data.json
71,csv
71,rdf
71,json
71,xml
71,landing page
71,data.json
72,csv
72,rdf
72,json
72,xml
72,landing page
72,data.json
73,csv
73,data.json
74,iso-19139
75,html
75,jpeg
75,data.json
76,csv
76,sas
76,spss
76,pdf
76,excel
76,data.json
77,csv
77,rdf
77,json
77,xml
77,landing page
77,data.json
78,xml
78,html
78,arcgis geoservices rest api
78,csv
78,geojson
78,zip
78,kml
78,data.json
79,excel
79,data.json
80,html
80,data.json
81,csv
81,rdf
81,json
81,xml
81,landing page
81,data.json
82,html
82,csv
82,landing page
82,data.json
83,xml
83,landing page
83,data.json
84,excel
84,data.json
85,landing page
85,data.json
86,data.json
87,csv
87,rdf
87,json
87,xml
87,landing page
87,data.json
88,application/html
88,landing page
88,data.json
89,zip
89,data.json
90,zip
90,api
90,landing page
90,data.json
91,zip
91,landing page
91,data.json
92,csv
92,landing page
92,data.json
93,csv
93,data.json
94,excel
94,landing page
94,data.json
95,csv
95,rdf
95,json
95,xml
95,landing page
95,data.json
96,html
96,arcgis geoservices rest api
96,landing page
96,data.json
97,zip
97,html
97,landing page
97,data.json
98,landing page
98,data.json
99,html
99,xml
99,landing page
99,data.json
100,data.json
101,html
101,arcgis geoservices rest api
101,csv
101,zip
101,geojson
101,kml
101,text
101,excel
101,gpkg
101,gdb
101,landing page
101,data.json
102,html
102,arcgis geoservices rest api
102,csv
102,zip
102,geojson
102,kml
102,data.json
103,excel
103,landing page
103,data.json
104,wms
104,wfs
104,qgis
104,zip
104,gml
104,kml
104,json
104,csv
104,excel
104,xml
104,html
104,iso-19139
105,csv
105,rdf
105,json
105,xml
105,landing page
105,data.json
106,zip
106,excel
106,data.json
107,html
107,iso-19139
108,bin
108,html
108,iso
108,data.json
109,csv
109,rdf
109,json
109,xml
109,landing page
109,data.json
110,zip
110,landing page
110,data.json
111,landing page
111,data.json
112,excel
112,data.json
113,csv
113,rdf
113,json
113,xml
113,landing page
113,data.json
114,html
114,data.json
115,csv
115,rdf
115,json
115,xml
115,landing page
115,data.json
116,csv
116,rdf
116,json
116,xml
116,landing page
116,data.json
117,csv
117,sas
117,spss
117,pdf
117,html
117,data.json
118,data.json
119,comma separated value spreadsheet
119,api
119,landing page
119,data.json
120,excel
120,data.json
121,data.json
122,csv
122,rdf
122,json
122,xml
122,landing page
122,data.json
123,csv
123,rdf
123,json
123,xml
123,landing page
123,data.json
124,iso-19139
125,csv
125,data.json
126,csv
126,rdf
126,json
126,xml
126,landing page
126,data.json
127,excel
127,landing page
127,data.json
128,html
128,data.json
129,xlsb
129,html
129,landing page
129,data.json
130,excel
130,data.json
131,landing page
131,data.json
132,csv
132,html
132,zip
132,landing page
132,data.json
133,iso-19139
134,iso-19139
135,pdf
135,iso-19139
136,csv
136,rdf
136,json
136,xml
136,landing page
136,data.json
137,zip
137,xml
137,iso-19139
138,csv
138,rdf
138,json
138,xml
138,landing page
138,data.json
139,excel
139,landing page
139,data.json
140,csv
140,rdf
140,json
140,xml
140,landing page
140,data.json
141,zip
141,excel
141,landing page
141,data.json
142,landing page
142,data.json
143,html
143,landing page
143,data.json
144,landing page
144,data.json
145,landing page
145,data.json
146,esri rest
146,iso-19139
147,landing page
147,data.json
148,html
148,csv
148,landing page
148,data.json
149,zip
149,xml
149,esri rest
149,iso-19139
150,data.json
151,html
151,api
151,landing page
151,data.json
152,html
152,xml
152,landing page
152,data.json
153,html
153,landing page
153,data.json
154,csv
154,rdf
154,json
154,xml
154,landing page
154,data.json
155,zip
155,esri rest
155,iso-19139
156,zip
156,landing page
156,data.json
157,landing page
157,data.json
158,zip
158,html
158,landing page
158,data.json
159,csv
159,rdf
159,json
159,xml
159,landing page
159,data.json
160,landing page
160,data.json
161,csv
161,rdf
161,json
161,xml
161,landing page
161,data.json
162,csv
162,rdf
162,json
162,xml
162,landing page
162,data.json
163,excel
163,data.json
164,pdf
164,csv
164,excel
164,zip
164,data.json
165,html
165,landing page
165,data.json
166,landing page
166,data.json
167,csv
167,rdf
167,json
167,xml
167,landing page
167,data.json
168,csv
168,rdf
168,json
168,xml
168,landing page
168,data.json
169,csv
169,rdf
169,json
169,xml
169,landing page
169,data.json
170,csv
170,rdf
170,json
170,xml
170,landing page
170,data.json
171,zip
171,xml
171,esri rest
171,iso-19139
172,html
172,landing page
172,data.json
173,csv
173,rdf
173,json
173,xml
173,landing page
173,data.json
174,html
174,landing page
174,data.json
175,csv
175,landing page
175,data.json
176,landing page
176,data.json
177,csv
177,rdf
177,json
177,xml
177,landing page
177,data.json
178,md
178,csv
178,html
178,landing page
178,data.json
179,zip
179,wms
179,csv
179,iso-19139
180,api
180,data.json
181,html
181,data.json
182,data.json
183,html
183,pdf
183,zip
183,text
183,landing page
183,data.json
184,zip
184,data.json
185,csv
185,excel
185,json
185,landing page
185,data.json
186,csv
186,tableau
186,excel
186,pdf
186,zip
186,data.json
187,pdf
187,data.json
188,html
188,data.json
189,landing page
189,data.json
190,excel
190,data.json
191,csv
191,excel
191,pdf
191,zip
191,data.json
192,csv
192,rdf
192,json
192,xml
192,landing page
192,data.json
193,iso-19139
194,html
194,landing page
194,data.json
195,zip
195,doc
195,html
195,landing page
195,data.json
196,api
196,data.json
197,csv
197,rdf
197,json
197,xml
197,landing page
197,data.json
198,csv
198,rdf
198,json
198,xml
198,landing page
198,data.json
199,html
199,api
199,excel
199,data.json
200,html
200,arcgis geoservices rest api
200,csv
200,zip
200,geojson
200,kml
200,landing page
200,data.json
201,csv
201,rdf
201,json
201,xml
201,landing page
201,data.json
202,csv
202,rdf
202,json
202,xml
202,landing page
202,data.json
203,esri rest
203,zip
203,iso-19139
204,html
204,landing page
204,data.json
205,api
205,landing page
205,data.json
206,data.json
207,html
207,landing page
207,data.json
208,api
208,data.json
209,csv
209,rdf
209,json
209,xml
209,landing page
209,data.json
210,excel
210,data.json
211,html
211,landing page
211,data.json
212,data.json
213,excel
213,data.json
214,bin
214,pdf
214,landing page
214,data.json
215,csv
215,rdf
215,json
215,xml
215,landing page
215,data.json
216,excel
216,landing page
216,data.json
217,html
217,landing page
217,data.json
218,csv
218,rdf
218,json
218,xml
218,landing page
218,data.json
219,html
219,landing page
219,data.json
220,csv
220,rdf
220,json
220,xml
220,landing page
220,data.json
221,html
221,landing page
221,data.json
222,xlsb
222,html
222,landing page
222,data.json
223,excel
223,csv
223,zip
223,data.json
224,csv
224,rdf
224,json
224,xml
224,landing page
224,data.json
225,csv
225,excel
225,html
225,data.json
226,data.json
227,html
227,text
227,landing page
227,data.json
228,iso-19139
229,html
229,landing page
229,data.json
230,excel
230,data.json
231,text/tab
231,landing page
231,data.json
232,csv
232,rdf
232,json
232,xml
232,landing page
232,data.json
233,csv
233,rdf
233,json
233,xml
233,landing page
233,data.json
234,csv
234,rdf
234,json
234,xml
234,landing page
234,data.json
235,html
235,arcgis geoservices rest api
235,landing page
235,data.json
236,iso-19139
237,esri rest
237,kml
237,pdf
237,csv
237,iso-19139
238,csv
238,rdf
238,json
238,xml
238,landing page
238,data.json
239,api
239,landing page
239,data.json
240,csv
240,rdf
240,json
240,xml
240,landing page
240,data.json
241,html
241,arcgis geoservices rest api
241,landing page
241,data.json
242,iso-19139
243,csv
243,chart
243,zip
243,data.json
244,excel
244,landing page
244,data.json
245,xml
245,text/json
245,rss
245,json
245,html
245,arcgis geoservices rest api
245,csv
245,zip
245,geojson
245,kml
245,text
245,excel
245,gpkg
245,gdb
245,landing page
245,data.json
246,csv
246,landing page
246,data.json
247,html
247,arcgis geoservices rest api
247,landing page
247,data.json
248,landing page
248,data.json
249,html
249,application/vnd.lotus-organizer
249,wcs
249,wms
249,iso-19139
250,csv
250,rdf
250,json
250,xml
250,landing page
250,data.json
251,html
251,pdf
251,iso-19139
252,csv
252,rdf
252,json
252,xml
252,landing page
252,data.json
253,csv
253,rdf
253,json
253,xml
253,landing page
253,data.json
254,html
254,landing page
254,data.json
255,landing page
255,data.json
256,html
256,landing page
256,data.json
257,wms
257,html
257,jpeg
257,text
257,xml
257,application/geopackage+sqlite3
257,zip
257,iso-19139
258,excel
258,pdf
258,csv
258,html
258,landing page
258,data.json
259,html
259,landing page
259,data.json
260,html
260,landing page
260,data.json
261,csv
261,rdf
261,json
261,xml
261,landing page
261,data.json
262,html
262,landing page
262,data.json
263,csv
263,data.json
264,json
264,excel
264,data.json
265,csv
265,landing page
265,data.json
266,html
266,pdf
266,landing page
266,data.json
267,html
267,landing page
267,data.json
268,zip
268,xml
268,esri rest
268,iso-19139
269,html
269,landing page
269,data.json
270,csv
270,rdf
270,json
270,xml
270,landing page
270,data.json
271,zip
271,iso-19139
272,csv
272,rdf
272,json
272,xml
272,landing page
272,data.json
273,landing page
273,data.json
274,csv
274,rdf
274,json
274,xml
274,landing page
274,data.json
275,csv
275,excel
275,html
275,data.json
276,csv
276,rdf
276,json
276,xml
276,landing page
276,data.json
277,csv
277,html
277,zip
277,data.json
278,html
278,landing page
278,data.json
279,csv
279,rdf
279,json
279,xml
279,landing page
279,data.json
280,xml
280,zip
280,html
280,landing page
280,data.json
281,html
281,arcgis geoservices rest api
281,landing page
281,data.json
282,csv
282,data.json
283,csv
283,data.json
284,html
284,csv
284,landing page
284,data.json
285,data.json
286,csv
286,rdf
286,json
286,xml
286,landing page
286,data.json
287,csv
287,rdf
287,json
287,xml
287,landing page
287,data.json
288,zip
288,html
288,wms
288,esri rest
288,iso-19139
289,csv
289,rdf
289,json
289,xml
289,landing page
289,data.json
290,excel
290,data.json
291,csv
291,rdf
291,json
291,xml
291,landing page
291,data.json
292,html
292,application/vnd.api+json
292,landing page
292,data.json
293,application/unknown
293,api
293,landing page
293,data.json
294,jpeg
294,zip
294,api
294,doc
294,xml
294,landing page
294,data.json
295,esri rest
295,wms
295,wfs
295,kml
295,pdf
295,iso-19139
296,html
296,landing page
296,data.json
