organization_id,organization_name,description
1,img.exim.gov/s3fs-public/dataset/vbhv-d8am/data.json,Data provider: img.exim.gov/s3fs-public/dataset/vbhv-d8am/data.json
2,data.wa.gov,Data provider: data.wa.gov
3,Office for Civil Rights (OCR),Data provider: Office for Civil Rights (OCR)
4,U.S. EPA Office of Research and Development (ORD),Data provider: U.S. EPA Office of Research and Development (ORD)
5,National Park Service,Data provider: National Park Service
6,data.lacity.org,Data provider: data.lacity.org
7,FEMA/RESILIENCE/FIMA,Data provider: FEMA/RESILIENCE/FIMA
8,data.cityofnewyork.us,Data provider: data.cityofnewyork.us
9,Centers for Disease Control and Prevention,Data provider: Centers for Disease Control and Prevention
10,City of Tempe,Data provider: City of Tempe
11,Social Security Administration,Data provider: Social Security Administration
12,Small Business Administration,Data provider: Small Business Administration
13,data.montgomerycountymd.gov,Data provider: data.montgomerycountymd.gov
14,data.ny.gov,Data provider: data.ny.gov
15,FEMA/Response and Recovery/Response Directorate,Data provider: FEMA/Response and Recovery/Response Directorate
16,data.austintexas.gov,Data provider: data.austintexas.gov
17,"Economic Research Service, Department of Agriculture","Data provider: Economic Research Service, Department of Agriculture"
18,Bureau of Transportation Statistics,Data provider: Bureau of Transportation Statistics
19,National Library of Medicine,Data provider: National Library of Medicine
20,Farm Production and Conservation Business Center,Data provider: Farm Production and Conservation Business Center
21,Federal Bureau of Investigation,Data provider: Federal Bureau of Investigation
22,Office of Tariff Affairs and Trade Agreements,Data provider: Office of Tariff Affairs and Trade Agreements
23,SEPTA,Data provider: SEPTA
24,General Services Administration,Data provider: General Services Administration
25,data.cityofchicago.org,Data provider: data.cityofchicago.org
26,National Highway Traffic Safety Administration,Data provider: National Highway Traffic Safety Administration
27,Board of Governors of the Federal Reserve System,Data provider: Board of Governors of the Federal Reserve System
28,"National Agricultural Statistics Service, Department of Agriculture","Data provider: National Agricultural Statistics Service, Department of Agriculture"
29,Public Affairs,Data provider: Public Affairs
30,data.seattle.gov,Data provider: data.seattle.gov
31,Institute of Museum and Library Services,Data provider: Institute of Museum and Library Services
32,California Department of Corrections and Rehabilitation,Data provider: California Department of Corrections and Rehabilitation
33,National Institute of Standards and Technology,Data provider: National Institute of Standards and Technology
34,Mine Safety and Health Administration,Data provider: Mine Safety and Health Administration
35,data.ct.gov,Data provider: data.ct.gov
36,City of Pittsburgh,Data provider: City of Pittsburgh
37,SEDAC,Data provider: SEDAC
38,National Center for Education Statistics (NCES),Data provider: National Center for Education Statistics (NCES)
39,National Archives and Records Administration,Data provider: National Archives and Records Administration
40,Centers for Medicare & Medicaid Services,Data provider: Centers for Medicare & Medicaid Services
41,U.S. Food and Drug Administration,Data provider: U.S. Food and Drug Administration
42,FEMA/Response and Recovery/Recovery Directorate,Data provider: FEMA/Response and Recovery/Recovery Directorate
43,Office of the Secretary of Transportation,Data provider: Office of the Secretary of Transportation
44,National Aeronautics and Space Administration,Data provider: National Aeronautics and Space Administration
45,Federal Motor Carrier Safety Administration,Data provider: Federal Motor Carrier Safety Administration
46,California Air Resources Board,Data provider: California Air Resources Board
47,D.C. Office of the Chief Technology Officer,Data provider: D.C. Office of the Chief Technology Officer
48,U.S. Department of Housing and Urban Development,Data provider: U.S. Department of Housing and Urban Development
49,Consumer Financial Protection Bureau,Data provider: Consumer Financial Protection Bureau
50,Natural Resources Conservation Service,Data provider: Natural Resources Conservation Service
51,HIFLD,Data provider: HIFLD
52,Lake County Illinois GIS,Data provider: Lake County Illinois GIS
53,California Energy Commission,Data provider: California Energy Commission
54,NSIDC,Data provider: NSIDC
55,Economic and Risk Analysis,Data provider: Economic and Risk Analysis
56,International Trade Administration,Data provider: International Trade Administration
57,State of New York,Data provider: State of New York
58,Bureau of Justice Statistics,Data provider: Bureau of Justice Statistics
59,Food Safety and Inspection Service,Data provider: Food Safety and Inspection Service
60,U.S. EPA Office of Environmental Information (OEI),Data provider: U.S. EPA Office of Environmental Information (OEI)
61,California Employment Development Department,Data provider: California Employment Development Department
62,National Renewable Energy Laboratory,Data provider: National Renewable Energy Laboratory
63,Employment and Training Administration,Data provider: Employment and Training Administration
64,National Renewable Energy Laboratory (NREL),Data provider: National Renewable Energy Laboratory (NREL)
65,data.sfgov.org,Data provider: data.sfgov.org
66,"Office of Planning, Evaluation and Policy Development (OPEPD)","Data provider: Office of Planning, Evaluation and Policy Development (OPEPD)"
67,Federal Deposit Insurance Corporation,Data provider: Federal Deposit Insurance Corporation
68,Health Resources and Services Administration,Data provider: Health Resources and Services Administration
69,"Centers for Disease Control and Prevention, Department of Health & Human Services","Data provider: Centers for Disease Control and Prevention, Department of Health & Human Services"
70,Bureau of Labor Statistics,Data provider: Bureau of Labor Statistics
71,National Institutes of Health (NIH),Data provider: National Institutes of Health (NIH)
72,University of Maryland (UMD),Data provider: University of Maryland (UMD)
73,Justice Management Division,Data provider: Justice Management Division
74,Department of Veterans Affairs,Data provider: Department of Veterans Affairs
75,Federal Highway Administration,Data provider: Federal Highway Administration
76,California Department of Public Health,Data provider: California Department of Public Health
77,Substance Abuse & Mental Health Services Administration,Data provider: Substance Abuse & Mental Health Services Administration
78,U.S. Fish and Wildlife Service,Data provider: U.S. Fish and Wildlife Service
79,NREL,Data provider: NREL
80,U.S. Census Bureau,Data provider: U.S. Census Bureau
81,Agricultural Research Service,Data provider: Agricultural Research Service
82,Department of Defense,Data provider: Department of Defense
83,Food and Nutrition Service,Data provider: Food and Nutrition Service
84,Office of Elementary and Secondary Education (OESE),Data provider: Office of Elementary and Secondary Education (OESE)
85,Substance Abuse and Mental Health Services Administration,Data provider: Substance Abuse and Mental Health Services Administration
86,Pacific Northwest National Laboratory,Data provider: Pacific Northwest National Laboratory
87,US Postal Service,Data provider: US Postal Service
88,Office of Debt Management,Data provider: Office of Debt Management
89,U.S. Energy Information Administration,Data provider: U.S. Energy Information Administration
90,ICE,Data provider: ICE
91,"Foreign Agricultural Service, Department of Agriculture","Data provider: Foreign Agricultural Service, Department of Agriculture"
92,Office of Federal Student Aid (FSA),Data provider: Office of Federal Student Aid (FSA)
93,data.kingcounty.gov,Data provider: data.kingcounty.gov
94,Department of Health Care Access and Information,Data provider: Department of Health Care Access and Information
95,Allegheny County,Data provider: Allegheny County
96,"Rural Development, Department of Agriculture","Data provider: Rural Development, Department of Agriculture"
97,DOI/USGS/EROS,Data provider: DOI/USGS/EROS
98,opendata.maryland.gov,Data provider: opendata.maryland.gov
99,"City of Washington, DC","Data provider: City of Washington, DC"
100,Federal Highway Administration (FHWA),Data provider: Federal Highway Administration (FHWA)
101,Office of Justice Programs,Data provider: Office of Justice Programs
102,Office of the Chief Technology Officer,Data provider: Office of the Chief Technology Officer
103,data.nola.gov,Data provider: data.nola.gov
104,U.S. EPA Office of Water (OW),Data provider: U.S. EPA Office of Water (OW)
105,Office of Management and Enterprise Services,Data provider: Office of Management and Enterprise Services
106,IRS,Data provider: IRS
107,U.S. EPA Office of Air and Radiation (OAR) - Office of Air Quality Planning and Standards (OAQPS),Data provider: U.S. EPA Office of Air and Radiation (OAR) - Office of Air Quality Planning and Standards (OAQPS)
108,Bureau of Land Management,Data provider: Bureau of Land Management
109,OKStateStat,Data provider: OKStateStat
110,California Department of Industrial Relations,Data provider: California Department of Industrial Relations
111,Bureau of the Fiscal Service,Data provider: Bureau of the Fiscal Service
112,Occupational Safety and Health Administration,Data provider: Occupational Safety and Health Administration
113,California Department of Education,Data provider: California Department of Education
114,Unspecified,Data provider: Unspecified
115,Federal Housing Finance Agency,Data provider: Federal Housing Finance Agency
116,"U.S. Department of Energy, Office of Energy Efficiency and Renewable Energy","Data provider: U.S. Department of Energy, Office of Energy Efficiency and Renewable Energy"
117,data.iowa.gov,Data provider: data.iowa.gov
118,U.S. EPA Office of Air and Radiation (OAR) - Office of Atmospheric Programs (OAP),Data provider: U.S. EPA Office of Air and Radiation (OAR) - Office of Atmospheric Programs (OAP)
119,U.S. EPA Office of Air and Radiation (OAR) - Office of Transportation and Air Quality (OTAQ),Data provider: U.S. EPA Office of Air and Radiation (OAR) - Office of Transportation and Air Quality (OTAQ)
120,Dashlink,Data provider: Dashlink
121,Employee Benefits Security Administration,Data provider: Employee Benefits Security Administration
122,Data Driven Detroit,Data provider: Data Driven Detroit
123,"Agricultural Marketing Service, Department of Agriculture","Data provider: Agricultural Marketing Service, Department of Agriculture"
124,Financial Crimes Enforcement Network,Data provider: Financial Crimes Enforcement Network
125,Western Pennsylvania Regional Data Center,Data provider: Western Pennsylvania Regional Data Center
126,Office of the Chief Economist (OCE),Data provider: Office of the Chief Economist (OCE)
127,California Department of Technology,Data provider: California Department of Technology
128,Metropolitan Police Department,Data provider: Metropolitan Police Department
129,U.S. Consumer Product Safety Commission,Data provider: U.S. Consumer Product Safety Commission
130,"U.S. Environmental Protection Agency, Region 5","Data provider: U.S. Environmental Protection Agency, Region 5"
131,NCO NITRD,Data provider: NCO NITRD
132,Louisville/Jefferson County Information Consortium,Data provider: Louisville/Jefferson County Information Consortium
133,Bureau of Reclamation,Data provider: Bureau of Reclamation
134,United States Government Publishing Office,Data provider: United States Government Publishing Office
135,Bureau of Transportation Statisitics,Data provider: Bureau of Transportation Statisitics
136,Structured Disclosure,Data provider: Structured Disclosure
137,Public Buildings Service,Data provider: Public Buildings Service
138,US Army Corps of Engineers,Data provider: US Army Corps of Engineers
139,MGMT,Data provider: MGMT
140,Statistics of Income (SOI),Data provider: Statistics of Income (SOI)
141,NCUA,Data provider: NCUA
142,Department of Licensing and Consumer Protection,Data provider: Department of Licensing and Consumer Protection
143,California Department of Fish and Wildlife,Data provider: California Department of Fish and Wildlife
144,"Farm Service Agency, Department of Agriculture","Data provider: Farm Service Agency, Department of Agriculture"
145,U.S. Geological Survey,Data provider: U.S. Geological Survey
146,opendata.fcc.gov,Data provider: opendata.fcc.gov
147,National Institute of Justice,Data provider: National Institute of Justice
148,U.S. EPA Office of Mission Support (OMS),Data provider: U.S. EPA Office of Mission Support (OMS)
149,Sandia National Laboratories,Data provider: Sandia National Laboratories
150,U.S. Forest Service,Data provider: U.S. Forest Service
151,data.brla.gov,Data provider: data.brla.gov
152,data.nasa.gov,Data provider: data.nasa.gov
153,City of Hartford,Data provider: City of Hartford
154,Security Operations,Data provider: Security Operations
155,Mickley and Associates LLC,Data provider: Mickley and Associates LLC
156,datacatalog.cookcountyil.gov,Data provider: datacatalog.cookcountyil.gov
157,Investment Management,Data provider: Investment Management
158,WHD,Data provider: WHD
159,data.bloomington.in.gov,Data provider: data.bloomington.in.gov
160,"Agency for Healthcare Research and Quality, Department of Health & Human Services","Data provider: Agency for Healthcare Research and Quality, Department of Health & Human Services"
161,California State Water Resources Control Board,Data provider: California State Water Resources Control Board
162,U. S. Department of Agriculture,Data provider: U. S. Department of Agriculture
163,City of Seattle ArcGIS Online,Data provider: City of Seattle ArcGIS Online
164,U.S. Office of Personnel Management,Data provider: U.S. Office of Personnel Management
165,"National Cancer Institute (NCI), National Institutes of Health (NIH)","Data provider: National Cancer Institute (NCI), National Institutes of Health (NIH)"
166,data.providenceri.gov,Data provider: data.providenceri.gov
167,Office of Management and Budget,Data provider: Office of Management and Budget
168,Argonne National Laboratory,Data provider: Argonne National Laboratory
169,data.oregon.gov,Data provider: data.oregon.gov
170,NASA/CSDA,Data provider: NASA/CSDA
171,Office of Special Education Programs (OSEP),Data provider: Office of Special Education Programs (OSEP)
172,City of Philadelphia,Data provider: City of Philadelphia
173,"United States Mint, Financial Department (CFO)","Data provider: United States Mint, Financial Department (CFO)"
174,U.S. EPA Office of Air and Radiation (OAR) - Office of Radiation and Indoor Air (ORIA),Data provider: U.S. EPA Office of Air and Radiation (OAR) - Office of Radiation and Indoor Air (ORIA)
175,Bureau of Economic Analysis,Data provider: Bureau of Economic Analysis
176,California Department of Motor Vehicles,Data provider: California Department of Motor Vehicles
177,United States Geological Survey,Data provider: United States Geological Survey
178,U.S. EPA Office of Water (OW) - Office of Wastewater Management (OWM),Data provider: U.S. EPA Office of Water (OW) - Office of Wastewater Management (OWM)
179,National Science Foundation,Data provider: National Science Foundation
180,Artificial Intelligence and Technology,Data provider: Artificial Intelligence and Technology
181,Health Regulation and Licensing Administration,Data provider: Health Regulation and Licensing Administration
182,University of Central Florida - Florida Solar Energy Center,Data provider: University of Central Florida - Florida Solar Energy Center
183,U.S. Department of State,Data provider: U.S. Department of State
184,U.S. Department of Education,Data provider: U.S. Department of Education
185,Federal Railroad Administration,Data provider: Federal Railroad Administration
186,Town of Chapel Hill,Data provider: Town of Chapel Hill
187,U.S. Environmental Protection Agency,Data provider: U.S. Environmental Protection Agency
188,State of Oregon,Data provider: State of Oregon
189,FEMA/NCP/IPAWS DIVISION,Data provider: FEMA/NCP/IPAWS DIVISION
190,Wage and Hour Division,Data provider: Wage and Hour Division
191,ORNL_DAAC,Data provider: ORNL_DAAC
192,"Food and Nutrition Service, Department of Agriculture","Data provider: Food and Nutrition Service, Department of Agriculture"
193,School District of Philadelphia,Data provider: School District of Philadelphia
194,Administration for Children and Families,Data provider: Administration for Children and Families
195,National Institutes of Health,Data provider: National Institutes of Health
196,PCoE,Data provider: PCoE
197,US Department of Transportation,Data provider: US Department of Transportation
198,FEMA/Resilience/Federal Insurance Directorate,Data provider: FEMA/Resilience/Federal Insurance Directorate
199,Office of Tax and Revenue,Data provider: Office of Tax and Revenue
200,Bureau of Ocean Energy Management,Data provider: Bureau of Ocean Energy Management
201,"Substance Abuse & Mental Health Services Administration, Department of Health & Human Services","Data provider: Substance Abuse & Mental Health Services Administration, Department of Health & Human Services"
202,NASA NSIDC DAAC,Data provider: NASA NSIDC DAAC
203,Trademarks,Data provider: Trademarks
204,DOE Office of Scientific and Technical Information,Data provider: DOE Office of Scientific and Technical Information
205,Energy and Geoscience Institute at the University of Utah,Data provider: Energy and Geoscience Institute at the University of Utah
206,Office of Postsecondary Education (OPE),Data provider: Office of Postsecondary Education (OPE)
207,Office of Operations,Data provider: Office of Operations
208,Office of the Chief Information Officer,Data provider: Office of the Chief Information Officer
209,Federal Trade Commission,Data provider: Federal Trade Commission
210,Federal Election Commission,Data provider: Federal Election Commission
211,California Office of Environmental Health Hazard Assessment,Data provider: California Office of Environmental Health Hazard Assessment
212,ACF,Data provider: ACF
213,"Office of Surface Mining, Reclamation and Enforcement","Data provider: Office of Surface Mining, Reclamation and Enforcement"
214,Civil Division,Data provider: Civil Division
215,NASA/GSFC/SED/ESD/TISL/GESDISC,Data provider: NASA/GSFC/SED/ESD/TISL/GESDISC
216,City of Bloomington,Data provider: City of Bloomington
217,ODFW,Data provider: ODFW
218,California Ocean Protection Council,Data provider: California Ocean Protection Council
219,NASA,Data provider: NASA
220,Bureau of Safety and Environmental Enforcement,Data provider: Bureau of Safety and Environmental Enforcement
221,NRCS,Data provider: NRCS
222,data.mo.gov,Data provider: data.mo.gov
223,Data.gov,Data provider: Data.gov
224,Lawrence Berkeley National Lab,Data provider: Lawrence Berkeley National Lab
225,Office of Assistant Secretary for Policy,Data provider: Office of Assistant Secretary for Policy
226,"U.S. Department of Commerce, U.S. Census Bureau, Geography Division, Spatial Data Collection and Products Branch","Data provider: U.S. Department of Commerce, U.S. Census Bureau, Geography Division, Spatial Data Collection and Products Branch"
227,U.S. Department of the Treasury,Data provider: U.S. Department of the Treasury
228,"Economic Research Service, U.S. Department of Agriculture","Data provider: Economic Research Service, U.S. Department of Agriculture"
229,AmeriCorps Office of Research and Evaluation,Data provider: AmeriCorps Office of Research and Evaluation
230,Indian Health Service,Data provider: Indian Health Service
231,Nuclear Regulatory Commission,Data provider: Nuclear Regulatory Commission
232,U.S. EPA Office of Water (OW) - Office of Ground Water and Drinking Water (OGWDW),Data provider: U.S. EPA Office of Water (OW) - Office of Ground Water and Drinking Water (OGWDW)
233,Open Data Portal Team,Data provider: Open Data Portal Team
234,CAL FIRE,Data provider: CAL FIRE
235,Office of the Federal Register,Data provider: Office of the Federal Register
236,CSPD,Data provider: CSPD
237,FEMA/Resilience/Risk Management Directorate,Data provider: FEMA/Resilience/Risk Management Directorate
238,U.S. EPA Office of Solid Waste and Emergency Response (OSWER),Data provider: U.S. EPA Office of Solid Waste and Emergency Response (OSWER)
239,Bureau of Indian Affairs,Data provider: Bureau of Indian Affairs
240,Office of Inspector General,Data provider: Office of Inspector General
241,Centers for Medicare & Medicaid Services (CMS),Data provider: Centers for Medicare & Medicaid Services (CMS)
242,Lawrence Berkeley National Laboratory,Data provider: Lawrence Berkeley National Laboratory
243,National Laboratory of the Rockies,Data provider: National Laboratory of the Rockies
244,TTB,Data provider: TTB
245,BEMSD,Data provider: BEMSD
246,U.S. EPA Office of Research and Development (ORD) - National Center for Computational Toxicology (NCCT),Data provider: U.S. EPA Office of Research and Development (ORD) - National Center for Computational Toxicology (NCCT)
247,Department of Energy and Environment,Data provider: Department of Energy and Environment
248,GSA,Data provider: GSA
249,138,Data provider: 138
250,Property Valuation Administrator (PVA),Data provider: Property Valuation Administrator (PVA)
251,Federal Acquisition Service,Data provider: Federal Acquisition Service
252,Janes,Data provider: Janes
253,Office of the National Coordinator for Health Information Technology,Data provider: Office of the National Coordinator for Health Information Technology
254,California Department of Developmental Services,Data provider: California Department of Developmental Services
255,Office of Planning,Data provider: Office of Planning
256,FEMA/Mission Support/Office of Chief Information Officer,Data provider: FEMA/Mission Support/Office of Chief Information Officer
257,California Interagency Council on Homelessness,Data provider: California Interagency Council on Homelessness
258,Bureau of Labor Statisticis,Data provider: Bureau of Labor Statisticis
259,NASA/GSFC/SED/ESD/TISL/GESDISC;UCO/LASP/SORCE,Data provider: NASA/GSFC/SED/ESD/TISL/GESDISC;UCO/LASP/SORCE
260,Agency-Wide,Data provider: Agency-Wide
261,National Center for Science and Engineering Statistics,Data provider: National Center for Science and Engineering Statistics
262,Office of Foreign Assets Control,Data provider: Office of Foreign Assets Control
263,Office of Energy Efficiency & Renewable Energy,Data provider: Office of Energy Efficiency & Renewable Energy
264,Foreign Agricultural Service,Data provider: Foreign Agricultural Service
265,Thomson Reuters West Publishing,Data provider: Thomson Reuters West Publishing
266,FEMA/Resilience/Hazard Mitigation Directorate,Data provider: FEMA/Resilience/Hazard Mitigation Directorate
267,Office of the Secretary of Defense,Data provider: Office of the Secretary of Defense
268,U.S. EPA Office of Enforcement and Compliance Assurance (OECA),Data provider: U.S. EPA Office of Enforcement and Compliance Assurance (OECA)
269,Office of Juvenile Justice and Delinquency Prevention,Data provider: Office of Juvenile Justice and Delinquency Prevention
270,Agency for Healthcare Research and Quality,Data provider: Agency for Healthcare Research and Quality
