organization_id,organization_name,organization_type,contact_information,description
1,Export-Import Bank of the US,Government,foia@exim.gov,Data provider: Export-Import Bank of the US
2,State of Washington,Government,no-reply@data.wa.gov,Data provider: State of Washington
3,U.S. Environmental Protection Agency,Government,ingwersen.wesley@epa.gov,Data provider: U.S. Environmental Protection Agency
4,City of New York,Government,no-reply@data.cityofnewyork.us,Data provider: City of New York
5,Department of Education,Government,ocrdata@ed.gov,Data provider: Department of Education
6,Department of the Interior,Government,NRSS_DataStore@nps.gov,Data provider: Department of the Interior
7,City of Los Angeles,Government,no-reply@data.lacity.org,Data provider: City of Los Angeles
8,U.S. Department of Health & Human Services,Government,cdcinfo@cdc.gov,Data provider: U.S. Department of Health & Human Services
9,City of Tempe,Government,data@tempe.gov,Data provider: City of Tempe
10,Montgomery County of Maryland,Government,no-reply@data.montgomerycountymd.gov,Data provider: Montgomery County of Maryland
11,Small Business Administration,Government,OCEActions@sba.gov,Data provider: Small Business Administration
12,City of Philadelphia,Government,planning@septa.org,Data provider: City of Philadelphia
13,City of Austin,Government,no-reply@data.texas.gov,Data provider: City of Austin
14,State of New York,Government,no-reply@data.ny.gov,Data provider: State of New York
15,Social Security Administration,Government,Open.Data@ssa.gov,Data provider: Social Security Administration
16,Department of Agriculture,Government,hstewart@ers.usda.gov,Data provider: Department of Agriculture
17,Department of Transportation,Government,Sean.Jahanmir@dot.gov,Data provider: Department of Transportation
18,Department of Justice,Government,CRIMESTATSINFO@fbi.gov,Data provider: Department of Justice
19,US International Trade Commission,Government,Jennifer.Rohrbach@usitc.gov,Data provider: US International Trade Commission
20,Securities and Exchange Commission,Government,opendata@sec.gov,Data provider: Securities and Exchange Commission
21,Department of Homeland Security,Government,edmo@hq.dhs.gov,Data provider: Department of Homeland Security
22,General Services Administration,Government,valerie.butler@gsa.gov,Data provider: General Services Administration
23,Board of Governors of the Federal Reserve System,Government,ogda-data@frb.gov,Data provider: Board of Governors of the Federal Reserve System
24,Federal Election Commission,Government,apiinfo@fec.gov,Data provider: Federal Election Commission
